weight logl m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.069054511715324043e+04 1.722336594135012433e+01 -5.228760347637599892e-01 4.202703536120708350e+00 9.369090057183452558e+00 3.663163802854395357e+00 -8.825557694614705184e+00 2.718928172537207288e+01 3.009817277827006521e+01 2.177916423200879947e+01 1.193411027493972298e+01
0.000000000000000000e+00 -2.054076600779544242e+04 1.498771084308661727e+01 -6.519809940338796572e+00 -5.660616320012319846e+00 -7.556846730134814116e+00 3.048096283223362235e+00 -8.107075200965077499e+00 1.111624169663405937e+00 3.866756968057963206e+00 7.696648564732893938e+00 7.641620579374819755e+00
0.000000000000000000e+00 -2.051718897401586582e+04 1.624938690855987034e+01 1.194848615360584176e+00 -7.543706547654558392e+00 -9.934565115449565553e+00 -4.966710557920247737e+00 9.652876459727178116e+00 2.839836937469735645e+00 1.949501982957144719e-01 1.010416745130180516e+01 2.146190177039108349e+01
0.000000000000000000e+00 -2.047893533358487184e+04 1.719400129550616896e+01 -7.997366001451593931e+00 7.835179297578907409e+00 5.169585012023196313e+00 3.206261262083057062e+00 1.925892784356291187e+00 2.376935973635325539e+01 2.823887398685986483e+01 2.567542088462592176e+01 2.184857525246083298e+01
0.000000000000000000e+00 -2.041430012416344834e+04 1.737546106018485403e+01 -6.953892259445213497e+00 5.189619911379772077e+00 6.792685708848757997e+00 3.353120017266457253e+00 6.826253567274456202e-01 2.292868298606927269e+01 2.850085677117716187e+01 2.588767434517185251e+01 2.106646525608370624e+01
0.000000000000000000e+00 -2.039455925364678842e+04 1.602601404783749217e+01 -8.966789568525435072e-02 9.656893412239078600e+00 -3.159116622941182229e+00 5.601555341227285822e+00 9.657063695689636518e+00 2.457778840856544633e+01 2.341642063395804385e+01 2.687469579866506919e+01 2.876030117237411687e+01
0.000000000000000000e+00 -2.032308708558584476e+04 1.698387347679921078e+01 -1.376877023738543926e+00 -3.868334791808742956e+00 2.250316399327747519e+00 5.591809939920713290e+00 9.802633965284400119e+00 1.451097305449605557e+01 2.141983259687660279e+01 2.934734944605797935e+01 3.043922361261074983e+01
0.000000000000000000e+00 -2.026517445146935643e+04 1.791612847774884187e+01 4.480215440202657717e+00 -1.375242784848783373e+00 -5.494492381594781705e+00 -9.470120657842450385e+00 -4.713404748814684631e+00 1.459169297195425941e+01 5.812031911306510423e+00 2.118257065129613537e+00 6.701431893579208321e+00
0.000000000000000000e+00 -2.026116051153183435e+04 1.502362030650115088e+01 -9.966343033797276263e+00 -8.085037021455201867e+00 -2.430014167950654169e+00 8.027850126911793893e+00 8.703728471423492152e+00 6.029536336018530562e-01 1.238804423425863988e+01 2.565176366320838142e+01 2.817445937187841665e+01
0.000000000000000000e+00 -2.009551560808115028e+04 1.006763140152302327e+01 5.124507545296090427e+00 1.706329903315076280e+00 9.787268397148970678e+00 5.494374384270223288e+00 9.186788035221130855e+00 2.166404931468031592e+01 2.615917096148887566e+01 2.735820752848455584e+01 2.393216339114155033e+01
