weight logl H0 sigma epsilon tau
2.525405349317027889e-25 -4.570596592959885811e+02 3.042958227029080032e-02 5.430134482667560158e-01 7.427392103391773359e-01 7.524845408122744495e-01
3.711908519398477063e-25 -4.566720147101529506e+02 8.538655985937558812e-01 5.084839299303373084e-01 5.846155957798975233e-01 8.290938609721066888e-01
5.962545223813194564e-25 -4.561955634393223136e+02 7.929880543551837135e-02 5.501739728336116908e-01 3.380017413321617648e-01 4.844323049707440765e-01
1.441389217279555500e-24 -4.553103684044677379e+02 9.608560161948265232e-01 7.399332927183562836e-01 4.812488601370090713e-02 6.330997903560841022e-01
1.545978145486730349e-24 -4.552378189733216800e+02 7.628850276560841248e-01 3.559533891633419600e-01 5.117405936457859461e-01 4.375300037938298914e-01
2.197092656521423637e-24 -4.548838408205966175e+02 7.231082865646786262e-01 3.177651232520526392e-01 3.107438635087380607e-01 4.453996335062901935e-01
3.284710950879449095e-24 -4.544791971297552777e+02 7.618092208275190069e-01 4.336669930517997873e-01 1.605763736086118776e-01 9.933004465162564856e-02
4.731964127876433882e-24 -4.541116354218862625e+02 5.687940589931839153e-02 4.942570945821029849e-01 8.272437482019279198e-01 6.973044211075208887e-01
5.176124603814321694e-24 -4.540194191569318605e+02 5.972506114124677135e-01 1.330944216499130306e-01 8.553350924328145810e-01 1.598877045442980149e-01
6.557723479713146419e-24 -4.537803322750251596e+02 6.599832009257289300e-02 6.617179905599847034e-01 1.990789205266874085e-02 7.283159795244688040e-01
9.606646526622023689e-24 -4.533960205817849669e+02 3.092069118155134078e-01 5.252682005111608543e-02 7.355012031185924615e-01 5.638593486132540411e-01
1.633184403125828052e-23 -4.528628589636950892e+02 1.728216015107815196e-01 4.556250369242008658e-01 8.826961266436789133e-01 1.954634011903727542e-01
2.054660911590183716e-23 -4.526307798664188908e+02 6.157783993771581699e-02 7.202784908566162159e-01 9.401467307473820867e-02 2.161918071361434990e-02
2.188328108998372762e-23 -4.525652528625006994e+02 8.969808126290490513e-02 4.938920698936845044e-01 4.318093173342117952e-01 8.932310872563915538e-01
